English,article,French
people,le,peuple
time,le,temps
thing,la,chose
way,le,chemin
day,le,jour
lot,le,lot
woman,la,femme
country,le,pays
life,la,vie
question,la,question
president,le,président
week,la,semaine
kind,le,genre
case,le,cas
problem,le,problème
fact,le,fait
family,la,famille
point,le,point
government,le,gouvernement
issue,la,question
part,la,partie
guy,le,gars
number,le,nombre
job,le,travail
night,la,nuit
right,le,droit
place,le,lieu
war,la,guerre
month,le,mois
book,le,livre
show,le,spectacle
police,la,police
program,le,programme
party,la,partie
law,la,loi
word,le,mot
person,la,personne
home,la,maison
side,le,côté
tax,la,taxe
democrat,le,démocrate
group,le,groupe
break,la,pause
member,le,membre
system,le,système
minute,la,minute
reason,la,raison
campaign,la,campagne
nation,la,nation
congress,le,congrès
mother,la,mère
force,la,force
health,la,santé
area,la,zone
name,le,nom
report,le,rapport
hand,la,main
line,la,ligne
end,la,fin
court,le,tribunal
couple,le,couple
house,la,maison
father,le,père
situation,la,situation
car,la,voiture
parent,le,parent
drug,le,médicament
city,la,ville
sense,le,sens
policy,la,politique
office,le,bureau
decision,la,décision
power,la,puissance
plan,le,plan
leader,le,leader
movie,le,film
death,la,mort
community,la,communauté
look,le,look
evidence,la,preuve
girl,la,jeune
doctor,le,médecin
vote,le,vote
video,la,vidéo
room,la,chambre
bit,le,bit
phone,le,téléphone
sort,le,genre
boy,le,garçon
crime,le,crime
process,le,processus
music,la,musique
service,le,service
record,le,dossier
security,la,sécurité
talk,le,discours
head,la,tête
candidate,le,candidat
official,le,fonctionnaire
chance,la,chance
game,le,jeu
baby,le,bébé
change,le,changement
trial,le,procès
body,le,corps
market,le,marché
son,le,fils
town,la,ville
television,la,télévision
will,la,volonté
troop,la,troupe
judge,le,juge
answer,la,réponse
position,la,position
view,la,vue
difference,la,différence
food,la,nourriture
daughter,la,fille
race,la,course
street,la,rue
price,le,prix
message,le,message
control,le,contrôle
debate,le,débat
film,le,film
level,le,niveau
relationship,la,relation
correspondent,le,correspondant
ground,le,sol
piece,la,pièce
husband,le,mari
budget,le,budget
jury,le,jury
reporter,le,journaliste
weekend,le,week-end
matter,la,matière
gun,le,pistolet
peace,la,paix
role,le,rôle
director,le,directeur
face,le,visage
result,le,résultat
public,le,public
poll,le,scrutin
second,la,seconde
opportunity,la,possibilité
brother,le,frère
statement,la,déclaration
fire,le,feu
rate,le,taux
song,la,chanson
charge,la,charge
support,le,support
radio,la,radio
bank,la,banque
victim,la,victime
door,la,porte
scene,la,scène
rest,le,reste
press,la,presse
choice,le,choix
speech,le,discours
patient,le,patient
truth,la,vérité
road,la,route
term,le,terme
site,le,site
worker,le,travailleur
professor,le,professeur
letter,la,lettre
reform,la,réforme
concern,la,préoccupation
college,le,collège
wall,le,mur
evening,le,soir
meeting,la,réunion
voice,la,voix
violence,la,violence
rule,la,règle
test,le,test
trouble,la,peine
risk,le,risque
prison,la,prison
class,la,classe
soldier,le,soldat
plane,le,plan
amount,la,quantité
cost,le,coût
foot,le,pied
period,la,période
feeling,le,sentiment
cause,la,cause
tape,la,bande
threat,la,menace
type,le,type
conversation,la,conversation
disease,la,maladie
cancer,le,cancer
magazine,le,magazine
governor,le,gouverneur
pressure,la,pression
majority,la,majorité
research,la,recherche
character,le,caractère
station,la,station
crisis,la,crise
blood,le,sang
chairman,le,président
list,la,liste
dog,le,chien
field,le,domaine
sister,la,sœur
player,le,joueur
paper,le,papier
store,la,boutique
responsibility,la,responsabilité
lady,la,dame
product,le,produit
value,la,valeur
stock,le,stock
trade,le,commerce
conference,la,conférence
cell,la,cellule
comment,le,commentaire
source,la,source
past,le,passé
cut,la,coupe
thought,la,pensée
credit,le,crédit
sign,le,signe
marriage,le,mariage
condition,la,condition
witness,le,témoin
technology,la,technologie
stage,la,scène
staff,le,personnel
arm,le,bras
mission,la,mission
battle,la,bataille
top,le,haut
citizen,le,citoyen
reaction,la,réaction
gentleman,le,monsieur
leadership,la,direction
fear,la,peur
language,la,langue
need,la,nécessité
justice,la,justice
discussion,la,discussion
border,la,frontière
response,la,réaction
network,le,réseau
movement,le,mouvement
male,le,mâle
capital,la,capitale
standard,la,norme
table,la,table
treatment,le,traitement
card,la,carte
shot,le,tir
board,le,conseil
reality,la,réalité
sir,le,monsieur
land,la,terre
project,le,projet
light,la,lumière
page,la,page
success,le,succès
sound,le,son
pain,la,douleur
season,la,saison
sport,le,sport
studio,le,studio
decade,la,décennie
challenge,le,défi
dream,le,rêve
newspaper,le,journal
floor,le,plancher
fight,la,lutte
safety,la,sécurité
trip,le,voyage
possibility,la,possibilité
freedom,la,liberté
fund,le,fonds
seat,le,siège
bomb,la,bombe
form,la,forme
minister,le,ministre
deficit,le,déficit
development,le,développement
flight,le,vol
secretary,le,secrétaire
committee,le,comité
consumer,le,consommateur
rock,la,roche
figure,la,figure
culture,la,culture
coverage,la,couverture
loss,la,perte
dad,le,papa
note,la,note
gas,le,gaz
region,la,région
population,la,population
ability,la,capacité
resolution,la,résolution
brain,le,cerveau
politician,le,politicien
middle,le,milieu
storm,la,tempête
generation,la,génération
critic,le,critique
fan,le,ventilateur
scientist,le,scientifique
target,la,cible
camp,le,camp
direction,la,direction
journalist,le,journaliste
degree,le,degré
strategy,la,stratégie
factor,le,facteur
democracy,la,démocratie
solution,la,solution
training,la,formation
danger,le,danger
memory,la,mémoire
nature,la,nature
material,le,matériau
document,le,document
income,le,revenu
play,le,jeu
guard,la,garde
missile,le,missile
purpose,le,but
emergency,la,situation
growth,la,croissance
bed,le,lit
welfare,le,bien-être
faith,la,foi
proposal,la,proposition
model,le,modèle
box,la,boîte
crowd,la,foule
respect,le,respect
department,le,département
date,la,date
chief,le,chef
weather,le,temps
machine,la,machine
window,la,fenêtre
prosecution,la,poursuite
conflict,le,conflit
fall,la,chute
pilot,le,pilote
practice,la,pratique
track,la,piste
owner,le,propriétaire
legislation,la,législation
debt,la,dette
truck,le,camion
lead,la,tête
convention,la,convention
suicide,le,suicide
quality,la,qualité
conservative,le,conservateur
size,la,taille
account,le,compte
pleasure,le,plaisir
airline,la,compagnie
weight,le,poids
surgery,la,chirurgie
holiday,la,fête
start,le,début
victory,la,victoire
district,le,quartier
relation,la,relation
search,la,recherche
panel,le,panneau
coalition,la,coalition
move,le,déménagement
check,le,chèque
minority,la,minorité
bag,le,sac
surprise,la,surprise
focus,la,mise
circumstance,la,circonstance
producer,le,producteur
ball,la,balle
resource,la,ressource
judgment,le,jugement
driver,le,conducteur
hero,le,héros
medicine,la,médecine
representative,le,représentant
vehicle,le,véhicule
commander,le,commandant
mayor,le,maire
run,la,course
ship,le,navire
theory,la,théorie
lesson,la,leçon
resident,le,résident
partner,le,partenaire
bar,la,barre
ticket,le,billet
disaster,la,catastrophe
performance,la,performance
killer,le,tueur
negotiation,la,négociation
sea,la,mer
wind,le,vent
shoe,la,chaussure
secret,le,secret
tragedy,la,tragédie
gift,le,don
tour,la,tournée
manager,le,gestionnaire
band,la,bande
birth,la,naissance
loan,le,prêt
winner,le,gagnant
religion,la,religion
session,la,session
extent,la,mesure
contract,le,contrat
sentence,la,phrase
measure,la,mesure
deputy,le,vice-
confidence,la,confiance
relief,le,relief
perspective,la,perspective
scandal,le,scandale
leg,la,jambe
restaurant,le,restaurant
client,le,client
quarter,le,trimestre
claim,la,demande
property,la,propriété
version,la,version
attempt,la,tentative
bus,le,bus
customer,le,client
pound,la,livre
protection,la,protection
gene,le,gène
stone,la,pierre
female,la,femelle
prisoner,le,prisonnier
gang,le,gang
principle,le,principe
adviser,le,conseiller
visit,la,visite
stand,le,support
communication,la,communication
boat,le,bateau
connection,la,connexion
key,la,clé
strike,la,grève
penalty,la,peine
turn,le,tour
procedure,la,procédure
half,la,moitié
tank,le,réservoir
telephone,le,téléphone
block,le,bloc
bond,le,lien
style,le,style
football,le,foot
fuel,le,carburant
glass,le,verre
suit,le,costume
strength,la,force
criticism,la,critique
ice,la,glace
promise,la,promesse
return,le,retour
production,la,production
corner,le,coin
consequence,la,conséquence
injury,la,blessure
cover,le,couvercle
breast,la,poitrine
controversy,la,controverse
destruction,la,destruction
club,le,club
regime,le,régime
competition,la,compétition
profit,le,bénéfice
knowledge,la,connaissance
spokesman,le,porte-parole
understanding,la,compréhension
recession,la,récession
singer,le,chanteur
village,le,village
snow,la,neige
joke,la,blague
contact,le,contact
demand,la,demande
task,la,tâche
hole,le,trou
general,le,grand
skin,la,peau
count,le,décompte
conclusion,la,conclusion
priority,la,priorité
refugee,le,réfugié
mountain,la,montagne
summit,le,sommet
bottom,le,fond
management,la,gestion
commission,la,commission
range,la,gamme
code,le,code
mouth,la,bouche
presence,la,présence
share,la,part
fashion,la,mode
shape,la,forme
finger,le,doigt
fish,le,poisson
edge,le,bord
limit,la,limite
train,le,train
belief,la,croyance
farm,la,ferme
zone,la,zone
passenger,le,passager
lie,le,mensonge
duty,le,devoir
traffic,le,trafic
horse,le,cheval
tradition,la,tradition
recovery,la,récupération
difficulty,la,difficulté
file,le,fichier
crash,le,crash
regulation,la,réglementation
struggle,la,lutte
heat,la,chaleur
dress,la,robe
release,la,libération
virus,le,virus
theme,le,thème
notion,la,notion
device,le,dispositif
anger,la,colère
flag,le,drapeau
context,le,contexte
pattern,le,motif
bridge,le,pont
settlement,le,règlement
rain,la,pluie
wood,le,bois
mystery,le,mystère
prayer,la,prière
vision,la,vision
depression,la,dépression
defendant,le,défendeur
structure,la,structure
thinking,la,réflexion
therapy,la,thérapie
path,le,trajet
funding,le,financement
title,le,titre
housing,le,boîtier
shop,la,boutique
complaint,la,plainte
wave,la,vague
cat,le,chat
map,la,carte
proof,la,preuve
skill,la,compétence
trust,la,confiance
topic,le,sujet
personality,la,personnalité
hall,la,salle
chicken,le,poulet
speaker,le,haut-parleur
wage,le,salaire
request,la,demande
boss,le,patron
estate,la,succession
sector,le,secteur
stop,la,butée
shock,le,choc
contribution,la,contribution
cigarette,la,cigarette
kitchen,la,cuisine
territory,le,territoire
command,la,commande
protest,la,protestation
fault,la,faute
coast,la,côte
variety,la,variété
bell,la,cloche
coffee,le,café
grade,la,note
section,la,section
sky,le,ciel
signal,le,signal
stress,la,contrainte
researcher,le,chercheur
cable,le,câble
beach,la,plage
volunteer,le,volontaire
burden,la,charge
detective,le,détective
gain,le,gain
pool,la,piscine
trend,la,tendance
planet,la,planète
river,la,rivière
joy,la,joie
delay,le,retard
clinic,la,clinique
yard,la,cour
tip,la,pointe
divorce,le,divorce
sun,le,soleil
row,la,ligne
phrase,la,phrase
worth,la,valeur
collection,la,collection
surface,la,surface
tie,la,cravate
musician,le,musicien
concept,le,concept
tension,la,tension
outcome,le,résultat
fellow,le,boursier
beauty,la,beauté
casualty,la,victime
copy,la,copie
mine,la,mine
watch,la,montre
average,la,moyenne
travel,le,Voyage
fraud,la,fraude
category,la,catégorie
conviction,la,conviction
technique,la,technique
sight,la,vue
reduction,la,réduction
corporation,la,société
passion,la,passion
distance,la,distance
desert,le,désert
compromise,le,compromis
illness,la,maladie
tear,la,déchirure
gate,la,porte
forest,la,forêt
golf,le,parcours
talent,le,talent
post,le,poste
priest,le,prêtre
novel,le,roman
division,la,division
desire,le,désir
hat,le,chapeau
reputation,la,réputation
score,le,score
relative,le,parent
column,la,colonne
payment,le,paiement
transition,la,transition
award,le,prix
capability,la,capacité
definition,la,définition
pocket,la,poche
speed,la,vitesse
concert,le,concert
climate,le,climat
beer,la,bière
nose,le,nez
green,le,vert
garden,le,jardin
satellite,le,satellite
ceremony,la,cérémonie
discovery,la,découverte
ride,le,trajet
root,la,racine
tea,le,thé
motion,le,mouvement
percentage,le,pourcentage
combination,la,combinaison
chain,la,chaîne
twin,le,jumeau
capacity,la,capacité
dealer,le,concessionnaire
journey,le,voyage
delegate,le,délégué
link,le,lien
plastic,la,matière
stimulus,le,stimulus
cap,le,bouchon
roll,le,rouleau
construction,la,construction
dispute,le,différend
design,la,conception
engine,le,moteur
lifetime,la,durée
nightmare,le,cauchemar
dance,la,danse
meal,le,repas
tourist,le,touriste
fat,la,graisse
salt,le,sel
neck,le,cou
bedroom,la,chambre
punishment,la,punition
prospect,la,perspective
smoke,la,fumée
meat,la,viande
hold,la,cale
drama,le,drame
desk,le,bureau
salary,le,salaire
bible,la,bible
grant,la,subvention
demonstration,la,démonstration
dialogue,le,dialogue
substance,la,substance
core,le,noyau
treaty,le,traité
personnel,le,personnel
tactic,la,tactique
method,le,procédé
noise,le,bruit
flower,la,fleur
cup,la,tasse
temperature,la,température
symbol,le,symbole
revolution,la,révolution
taste,le,goût
museum,le,musée
profile,le,profil
suggestion,la,suggestion
tooth,la,dent
consultant,le,consultant
drive,le,lecteur
disorder,le,trouble
sugar,le,sucre
rise,la,hausse
chip,la,puce
motive,le,motif
shirt,la,chemise
port,le,port
potential,le,potentiel
schedule,le,calendrier
parliament,le,parlement
contest,le,concours
branch,la,branche
symptom,le,symptôme
involvement,la,participation
discrimination,la,discrimination
walk,la,promenade
recommendation,la,recommandation
rebel,le,rebelle
round,la,ronde
maker,le,fabricant
wine,le,vin
remark,la,remarque
mess,le,désordre
tone,le,ton
resistance,la,résistance
platform,la,plate-forme
knife,le,couteau
perception,la,perception
fee,la,taxe
master,le,maître
circle,le,cercle
manner,la,manière
jet,le,jet
meaning,la,signification
plate,la,plaque
classroom,la,salle
brand,la,marque
painting,la,peinture
roof,le,toit
privilege,le,privilège
drink,la,boisson
content,le,contenu
chemical,le,produit
french,le,français
bottle,la,bouteille
cream,la,crème
phase,la,phase
philosophy,la,philosophie
conduct,la,conduite
cycle,le,cycle
reader,le,lecteur
pregnancy,la,grossesse
league,la,ligue
foundation,la,fondation
boom,le,boom
tower,la,tour
feature,la,fonction
withdrawal,le,retrait
breath,le,souffle
crack,la,fissure
manufacturer,le,fabricant
specialist,le,spécialiste
reference,la,référence
provision,la,fourniture
wire,le,fil
speculation,la,spéculation
pair,la,paire
chocolate,le,chocolat
celebration,la,célébration
cheese,le,fromage
fortune,la,fortune
bathroom,la,salle
function,la,fonction
channel,le,canal
smile,le,sourire
milk,le,lait
suspicion,le,soupçon
household,le,ménage
finding,la,constatation
chest,la,poitrine
routine,la,routine
library,la,bibliothèque
harm,le,préjudice
margin,la,marge
guitar,la,guitare
button,le,bouton
silence,le,silence
drop,la,baisse
appointment,la,nomination
flow,le,flux
metal,le,métal
mirror,le,miroir
present,le,présent
carrier,le,support
fate,le,sort
cloud,le,nuage
muscle,le,muscle
belt,la,bande
chapter,le,chapitre
string,la,chaîne
trading,la,négociation
guide,le,guide
volume,le,volume
match,le,match
fantasy,le,fantasme
knee,le,genou
compound,le,composé
height,la,hauteur
draft,le,projet
mass,la,masse
discipline,la,discipline
fruit,le,fruit
visitor,le,visiteur
poem,le,poème
phenomenon,le,phénomène
fence,la,clôture
recipe,la,recette
guilt,la,culpabilité
survival,la,survie
champion,le,champion
potato,la,pomme
moon,la,lune
wound,la,plaie
stability,la,stabilité
pride,la,fierté
restriction,la,restriction
total,le,total
barrier,la,barrière
cousin,le,cousin
cake,le,gâteau
wheel,la,roue
description,la,description
establishment,la,mise
chamber,la,chambre
banking,le,secteur
apple,la,pomme
throat,la,gorge
raid,le,raid
distinction,la,distinction
lip,la,lèvre
timing,le,calendrier
insight,la,perspicacité
coup,le,coup
shift,le,passage
policeman,le,policier
sheet,la,feuille
offender,le,délinquant
strip,la,bande
pop,la,pop
liberty,la,liberté
fiction,la,fiction
creation,la,création
marketing,la,commercialisation
christian,le,chrétien
pot,le,pot
fishing,la,pêche
breakfast,le,petit
tube,le,tube
determination,la,détermination
sand,le,sable
guideline,la,ligne
shame,la,honte
resort,la,station
designer,le,concepteur
comparison,la,comparaison
bread,le,pain
wish,le,souhait
jacket,la,veste
pass,la,passe
statute,la,loi
pace,le,rythme
frame,le,cadre
confusion,la,confusion
guarantee,la,garantie
commissioner,le,commissaire
flame,la,flamme
graduate,le,diplômé
ward,la,salle
win,la,victoire
pig,le,cochon
mate,le,second
nerve,le,nerf
length,la,longueur
cow,la,vache
pack,le,pack
scholar,le,savant
comfort,le,confort
preparation,la,préparation
province,la,province
passage,le,passage
crystal,le,cristal
stroke,la,course
decline,la,baisse
achievement,la,réalisation
profession,la,profession
delivery,la,fourniture
sympathy,la,sympathie
dish,le,plat
component,le,composant
crop,la,culture
blow,le,coup
sin,le,péché
pension,la,pension
garage,le,garage
radiation,le,rayonnement
juice,le,jus
setting,le,réglage
vegetable,le,légume
partnership,le,partenariat
poetry,la,poésie
recognition,la,reconnaissance
self,le,moi
standing,le,statut
tissue,le,tissu
shell,la,coquille
captain,le,capitaine
grave,la,tombe
rank,le,rang
shortage,la,pénurie
prize,le,prix
coat,le,manteau
seed,la,graine
rat,le,rat
soil,le,sol
shore,la,rive
defeat,la,défaite
boot,la,chaussure
chart,le,tableau
ministry,le,ministère
diamond,le,diamant
finish,la,finition
laboratory,le,laboratoire
professional,le,professionnel
reward,la,récompense
infant,le,nourrisson
text,le,texte
shower,la,douche
dose,la,dose
panic,la,panique
net,le,net
clerk,le,greffier
miner,le,mineur
delegation,la,délégation
currency,la,monnaie
battery,la,batterie
tunnel,le,tunnel
resignation,la,démission
bike,le,vélo
mouse,la,souris
poet,le,poète
landscape,le,paysage
selection,la,sélection
cry,le,cri
separation,la,séparation
counter,le,compteur
championship,le,championnat
butter,le,beurre
portrait,le,portrait
stick,le,bâton
myth,le,mythe
cold,le,froid
contrast,le,contraste
tail,la,queue
mechanism,le,mécanisme
scheme,le,régime
presentation,la,présentation
bonus,le,bonus
possession,la,possession
deck,le,pont
creature,la,créature
running,le,fonctionnement
literature,la,littérature
weakness,la,faiblesse
blue,le,bleu
motivation,la,motivation
dust,la,poussière
leaf,la,feuille
launch,le,lancement
laugh,le,rire
leave,le,congé
iron,le,fer
competitor,le,concurrent
complex,le,complexe
bean,la,fève
pole,le,pôle
vessel,le,récipient
subsidy,la,subvention
pipe,le,tuyau
tournament,le,tournoi
hip,la,hanche
diagnosis,le,diagnostic
pitch,le,terrain
journal,la,revue
ceiling,le,plafond
awareness,la,prise
cross,la,croix
kiss,le,baiser
replacement,le,remplacement
duck,le,canard
formula,la,formule
devil,le,diable
limitation,la,limitation
compensation,la,compensation
declaration,la,déclaration
premium,la,prime
carpet,le,tapis
temple,le,temple
constituent,le,constituant
concession,la,concession
consent,le,consentement
premise,la,prémisse
heritage,le,patrimoine
rhythm,le,rythme
liability,le,passif
heel,le,talon
layer,la,couche
strain,la,souche
carbon,le,carbone
forum,le,forum
merit,le,mérite
youngster,le,jeune
transfer,le,transfert
distribution,la,distribution
depth,la,profondeur
blanket,le,blanchet
kingdom,le,royaume
mud,la,boue
reflection,la,réflexion
reserve,la,réserve
hunting,la,chasse
gesture,le,geste
residence,la,résidence
nail,le,clou
spectrum,le,spectre
drawing,le,dessin
pen,le,stylo
preference,la,préférence
pollution,la,pollution
lock,la,serrure
participant,le,participant
bench,le,banc
rope,la,corde
stream,le,flux
jurisdiction,la,compétence
charter,la,charte
tide,la,marée
representation,la,représentation
concentration,la,concentration
norm,la,norme
spread,la,propagation
rival,le,rival
disappointment,la,déception
tribunal,le,tribunal
grain,le,grain
proportion,la,proportion
fool,le,fou
merger,la,fusion
loyalty,la,loyauté
publication,la,publication
participation,la,participation
constituency,la,circonscription
paint,la,peinture
toilet,la,toilette
ghost,le,fantôme
lion,le,lion
craft,le,métier
custom,la,coutume
cliff,la,falaise
palace,le,palais
grip,la,poignée
protein,la,protéine
theft,le,vol
widow,la,veuve
departure,le,départ
repair,la,réparation
summary,le,résumé
logic,la,logique
boundary,la,limite
holder,le,titulaire
dimension,la,dimension
rail,le,rail
transaction,la,transaction
left,la,gauche
sequence,la,séquence
festival,le,festival
pit,la,fosse
bowl,le,bol
plaintiff,le,demandeur
aunt,la,tante
load,la,charge
scope,la,portée
sandwich,le,sandwich
parish,la,paroisse
closure,la,fermeture
pile,la,pile
ownership,la,propriété
defender,le,défenseur
circuit,le,circuit
mode,le,mode
discount,la,décote
kit,le,kit
psychology,la,psychologie
virtue,la,vertu
flexibility,la,flexibilité
trainer,le,formateur
continent,le,continent
trader,le,commerçant
bath,le,bain
brick,la,brique
seller,le,vendeur
promotion,la,promotion
clash,le,choc
characteristic,la,caractéristique
coin,la,pièce
proposition,la,proposition
tongue,la,langue
minimum,le,minimum
collector,le,collecteur
capitalism,le,capitalisme
basket,le,panier
framework,le,cadre
consciousness,la,conscience
rent,le,loyer
curve,la,courbe
cotton,le,coton
patch,le,patch
necessity,la,nécessité
square,la,place
steam,la,vapeur
transformation,la,transformation
sheep,le,mouton
brush,la,brosse
database,la,base
deposit,le,dépôt
menu,le,menu
triumph,le,triomphe
consumption,la,consommation
guardian,le,gardien
curtain,le,rideau
satisfaction,la,satisfaction
calculation,le,calcul
fleet,la,flotte
remedy,le,remède
lane,la,voie
certificate,le,certificat
swimming,la,piscine
fabric,le,tissu
medium,le,moyen
cab,la,cabine
glory,la,gloire
reception,la,réception
productivity,la,productivité
servant,le,serviteur
mill,le,moulin
sum,la,somme
counterpart,la,contrepartie
sergeant,le,sergent
storage,le,stockage
fraction,la,fraction
stance,la,position
motor,le,moteur
format,le,format
particle,la,particule
trace,la,trace
fluid,le,fluide
curriculum,le,programme
doctrine,la,doctrine
developer,le,développeur
pause,la,pause
sensation,la,sensation
dividend,le,dividende
monopoly,le,monopole
gallery,la,galerie
lecture,la,conférence
taxi,le,taxi
discretion,la,discrétion
flesh,la,chair
merchant,le,commerçant
quantity,la,quantité
darling,le,chouchou
justification,la,justification
painter,le,peintre
mixture,le,mélange
breach,la,violation
cheek,la,joue
successor,le,successeur
consultation,la,consultation
qualification,la,qualification
supplier,le,fournisseur
hardware,le,matériel
leather,le,cuir
rabbit,le,lapin
companion,le,compagnon
corridor,le,couloir
accountant,le,comptable
formation,la,formation
expenditure,la,dépense
rod,la,tige
complexity,la,complexité
skirt,la,jupe
transport,le,transport
mortality,la,mortalité
slope,la,pente
restoration,la,restauration
nest,le,nid
variation,la,variation
composition,la,composition
crown,la,couronne
probability,la,probabilité
liberation,la,libération
attendance,la,participation
conservation,la,conservation
sculpture,la,sculpture
champagne,le,champagne
council,le,conseil
billion,le,milliard
go,le,feu
shit,la,merde
earth,la,terre
lifespan,la,durée
vat,la,cuve
fibre,la,fibre
constable,le,connétable
navy,la,marine
programme,le,programme
mile,le,mile
fig,la,figue
photograph,la,photographie
photo,la,photo
colony,la,colonie
labour,la,main-
neighbour,le,prochain
red,le,rouge
bush,la,brousse
lake,le,lac
lad,le,jeune
judgement,le,jugement
rose,la,rose
favour,la,faveur
terrace,la,terrasse
mum,la,maman
bay,la,baie
commonwealth,la,république
hill,la,colline
jew,le,Juif
colonel,le,colonel
god,le,dieu
constitution,la,constitution
treasury,le,trésor
white,le,blanc
cupboard,le,placard
park,le,parc
dozen,la,douzaine
cheque,le,chèque
magistrate,le,magistrat
junction,la,jonction
hundred,la,centaine
councillor,le,conseiller
inch,le,pouce
favourite,le,favori
daddy,le,papa
pensioner,le,pensionné
rumour,la,rumeur
county,le,comté
miss,la,miss
percent,le,pour
traveller,le,voyageur
gaze,le,regard
pope,le,pape
classification,la,classification
redundancy,la,redondance
builder,le,constructeur
mummy,la,momie
van,la,fourgonnette
chap,le,chap
centre,le,centre
king,le,roi
behaviour,le,comportement
bill,le,projet
criterion,le,critère
tutor,le,tuteur
tv,la,télé
princess,la,princesse
harbour,le,port
thousand,le,mille
defence,la,défense
queen,la,reine
republic,la,république
co,la,co
licence,la,licence
proceeding,la,procédure
duke,le,duc
tonne,la,tonne
specification,la,spécification
lorry,le,camion
no,le,pas
mark,la,marque
valley,la,vallée
federation,la,fédération
villa,la,villa
sociology,la,sociologie
colour,la,couleur
prince,le,prince
dollar,le,dollar
bureau,le,bureau
lord,le,seigneur
corp,le,corp
catalogue,le,catalogue
earl,le,comte
directory,le,répertoire
mm,le,mm
frequency,la,fréquence
seminar,le,séminaire
verse,le,verset
receipt,la,réception
breed,la,race
measurement,la,mesure
palm,la,paume
dock,le,quai
pc,le,pc
advertisement,la,publicité
implementation,la,mise
portfolio,le,portefeuille
timber,le,bois
clause,la,clause
discourse,le,discours
disc,le,disque
blade,la,lame
ratio,le,rapport
mineral,le,minéral
outline,le,contour
machinery,la,machine
canal,le,canal
disposal,la,disposition
refusal,le,refus
domain,le,domaine
register,le,registre
availability,la,disponibilité
silk,la,soie
beam,la,poutre
applicant,le,demandeur
modification,la,modification
fragment,le,fragment
tenant,le,locataire
conversion,la,conversion
vendor,le,vendeur
practitioner,le,praticien
delight,le,plus
filter,le,filtre
bronze,la,médaille
doorway,la,porte
lease,le,bail
constraint,la,contrainte
cloth,le,tissu
nursery,la,pépinière
creditor,le,créancier
disk,le,disque
dictionary,le,dictionnaire
conception,la,conception
trustee,le,syndic
molecule,la,molécule
holding,la,tenue
cottage,le,chalet
landlord,le,propriétaire
succession,la,succession
warmth,la,chaleur
spell,le,sort
chapel,la,chapelle
leisure,le,loisir
reign,le,règne
reply,la,réponse
duration,la,durée
castle,le,château
hierarchy,la,hiérarchie
correlation,la,corrélation
lamp,la,lampe
sphere,la,sphère
chancellor,le,chancelier
peasant,le,paysan
output,la,sortie
glance,le,regard
directive,la,directive
thesis,la,thèse
working,le,travail
oak,le,chêne
turnover,le,chiffre
tray,le,bac
server,le,serveur
cathedral,la,cathédrale
pity,la,pitié
variable,la,variable
carriage,le,chariot
cinema,le,cinéma
leaflet,la,notice
density,la,densité
subsidiary,la,filiale
dismissal,le,licenciement
processor,le,processeur
packet,le,paquet
wool,la,laine
grammar,la,grammaire
pavement,le,trottoir
receiver,le,récepteur
module,le,module
railway,la,voie
pupil,la,pupille
cricket,le,grillon
diagram,le,diagramme
bastard,le,bâtard
